id,name,gender,age,education,profession,income,living_with,nation,phone,job,fb_freq,yt_freq,insta_freq,use_less_than_2GB,use_2GB_to_4GB
9606,Luis Bennett,Male,23,Bachelor,Architecture & Engineering,1772500000 VND, Single_0,US,+1-922-537-0325,Social researcher,0,1,7,8,0
15884,藤田 学,Male,24,Bachelor,Architecture & Engineering,69800$, Sing le_0,JAPAN,080-7594-3786,配管工,0,0,6,8,1
7022,André Correia,Male,22,Bachelor,Architecture & Engineering,1595000000 VND,S    ingle_0,BRAZIL,0500-308-8726,Instrumentador cirúrgico,0,1,5,8,0
17244,Danilo Sousa,Male,25,Bachelor,Architecture & Engineering,1585000000 VND,Sin  gle_0,BRAZIL,+55 71 1546 3006,Bancário,0,0,8,8,1
13688,Justin Hansen,Other,25,Bachelor,Architecture & Engineering,1762500000 VND,Si  n gle_0,AUSTRALIA,0227882052,"Designer, exhibition/display",0,0,8,7,1
4979,Hendrik Buchholz,Male,21,Bachelor,Architecture & Engineering,72000$,Si n gle_0,DENMARK,(09608) 01953,Fachinformatiker,0,1,4,7,1
14896,Eduardo Casa Grande,Male,22,Bachelor,Architecture & Engineering,1645000000 VND,Sing le_0,BRAZIL,(061) 9546-7763,Camelô,0,1,6,8,0
16583,Blake Rogers,Male,49,None,Student,18900$,Sing le_0,ENGLAND,001-461-338-6233x394,Cabin crew,0,4,2,3,0
2492,Дорофеев Лука Артурович,Male,48,None,Student,19100$,Single_0,RUSSIA,8 (398) 723-1168,Фельдшер,0,8,2,3,0
18157,Eric Hull,Male,48,None,Student,15100$,  Si ngle_0,US,785.659.0055x361,Minerals surveyor,0,8,1,3,0
11738,Jeff Huff,Male,46,None,Student,432500000 VND,S  i ngle_0,ENGLAND,+1-676-722-8401x32399,"Therapist, music",0,6,1,3,0
14840,Ростислав Ермилович Трофимов,Male,47,None,Student,430000000 VND,   Si ngle_0,RUSSIA,+7 (822) 216-7871,Машинист,0,7,3,1,0
3838,田中 直人,Male,46,None,Student,507500000 VND, Single_0,JAPAN,080-7505-7531,ゲームクリエイター,0,5,3,1,0
13931,Chad Wiley,Male,46,None,Student,16800$, S  i ngle_0,ENGLAND,996-755-9649,Ranger/warden,0,5,2,1,0
11761,Michael Collins,Male,48,None,Student,19200$, S ingle_0,US,388.392.6681x223,Advertising account planner,0,8,1,2,0
5723,Alfredo Hauffer,Male,48,None,Student,415000000 VND,S ingle_0,DENMARK,04539 764449,Augenoptiker,0,7,1,2,0
16237,Michele Jones,Other,46,None,Student,18300$,Single_0,US,968-535-6471x26689,Administrator,0,6,1,1,0
19985,Joshua Watkins,Male,46,None,Student,560000000 VND,S ingle_0,ENGLAND,001-244-435-9755,"Civil engineer, contracting",0,7,2,3,0
5658,Gary Knapp,Male,49,Bachelor,Education&Training&Library,75000$,Marrie d_1,US,365-272-1465x060,Publishing copy,0,1,3,1,1
9408,Terry Hall,Male,48,Bachelor,Education&Training&Library,1902500000 VND,Married_2,ENGLAND,959-357-2040x72336,Jewellery designer,0,3,2,2,0
5989,David Clark,Male,49,Bachelor,Education&Training&Library,82100$,Mar r  ied_2,AUSTRALIA,+61.3.4971.5724,"Therapist, drama",0,3,1,3,0
15606,William Marquez,Male,47,Bachelor,Education&Training&Library,87100$,M   a rried_4,US,280.321.2785,Therapeutic radiographer,0,1,1,3,1
13667,Brian Obrien,Male,46,Bachelor,Education&Training&Library,82100$,M a   rried_3,ENGLAND,407.531.7605,"Administrator, Civil Service",1,1,2,1,1
16399,Daniel Gibson,Male,47,Bachelor,Education&Training&Library,2170000000 VND,  Ma r ried_1,US,5706384745,Tourist information centre manager,0,3,1,2,0
12202,Christopher Mullen,Male,49,Bachelor,Education&Training&Library,79500$,Married_3,ENGLAND,(615)284-5990x772,Podiatrist,0,3,2,2,0
1171,Peter Carney,Other,49,Bachelor,Education&Training&Library,83100$,M   a rried_4,ENGLAND,630-292-2627x81661,Product designer,0,1,1,3,0
10882,鈴木 聡太郎,Male,46,Bachelor,Education&Training&Library,84000$,Ma r ried_1,JAPAN,070-3695-6668,救急救命士,0,2,2,3,1
6308,Alex Rice,Male,46,Bachelor,Education&Training&Library,84300$,Mar  r ied_4,ENGLAND,687-973-1078x6555,"Engineer, petroleum",1,1,3,3,1
15590,Gustavo Sampaio,Male,48,Bachelor,Education&Training&Library,2037500000 VND,M a r  ried_1,BRAZIL,+55 71 4363-9581,Estivador,0,3,3,2,0
6695,Daniel Gibson,Male,47,Bachelor,Education&Training&Library,75800$,M a r ried_1,ENGLAND,(791)439-6360,Geoscientist,0,3,1,3,1
11834,Johnathan Moses,Male,46,Bachelor,Education&Training&Library,2115000000 VND, Ma r  ried_2,ENGLAND,338.648.4204x6612,Database administrator,0,1,1,1,0
18151,魏斌,Male,47,Bachelor,Education&Training&Library,2045000000 VND, M arried_1,CHINA,18174348347,室内设计,1,2,2,3,0
8159,Kevin Hansen,Male,46,Bachelor,Education&Training&Library,84400$,Marrie d_2,ENGLAND,752.916.8827x8561,"Pharmacist, hospital",1,3,3,2,1
19448,Bill Mason,Male,48,Bachelor,Education&Training&Library,79200$,Married_1,ENGLAND,001-811-356-3773x907,"Geneticist, molecular",0,1,3,3,0
19309,Johnathan Bryant,Male,48,Bachelor,Education&Training&Library,2135000000 VND, M arr ied_1,AUSTRALIA,6652-1737,Electrical engineer,1,3,2,1,0
2182,Warren Saunders,Male,24,Associate,Student,477500000 VND,S    ingle_0,ENGLAND,763.957.2535x61493,Senior tax professional/tax inspector,3,1,1,0,2
7708,Warren Bowen,Male,21,Associate,Student,617500000 VND,Sin gle_0,US,+1-891-845-9699x503,Plant breeder/geneticist,3,0,3,0,2
2231,Jerry Davis,Male,25,Associate,Student,595000000 VND,  Si ngle_0,US,(688)587-5742,Chiropractor,2,1,1,0,2
19843,Lawrence Norris,Male,22,Associate,Student,370000000 VND,Si n gle_0,ENGLAND,8123869042,Warden/ranger,2,1,2,1,1
19423,Eric Wells,Male,22,Associate,Student,14800$,Sing le_0,AUSTRALIA,+61898745891,Media buyer,1,1,1,1,3
15869,Steven Pruitt,Other,22,Associate,Student,22000$, Sing le_0,ENGLAND,001-979-476-1993,Petroleum engineer,2,0,3,1,1
17580,Vitor Gabriel Ribeiro,Other,25,Associate,Student,427500000 VND,Singl e_0,BRAZIL,71 1182-0119,Microfonista,2,1,3,1,2
8695,Univ.Prof. Piotr Köster,Male,23,Associate,Student,17000$,  Sin gle_0,DENMARK,06984380833,Pfleger,1,1,2,1,3
6663,Robert Stone,Male,22,Associate,Student,23400$, Si  ngle_0,US,227-628-8589x1060,Social researcher,3,1,3,1,3
6679,Dr. Erick Alves,Male,25,Associate,Student,480000000 VND, S  ingle_0,BRAZIL,41 2388 3530,Pediatra,1,1,2,0,1
13708,Charles Davis,Other,21,Associate,Student,19600$, S i ngle_0,US,001-743-680-0705x323,Art therapist,3,0,3,1,3
2869,Victor Miles,Other,21,Associate,Student,452500000 VND,S in gle_0,AUSTRALIA,0422-151-254,Fashion designer,1,1,1,0,1
6967,Hans-Hermann Hendriks,Male,21,Associate,Student,497500000 VND,S    ingle_0,DENMARK,+49(0) 102046413,Erzieher,3,0,2,1,1
12345,Jordan Fox,Male,21,Associate,Student,21500$,Single_0,ENGLAND,001-726-669-6851,Art therapist,3,1,1,1,1
8871,Wesley Kelly,Male,21,Associate,Student,24500$, Si ngle_0,US,001-391-565-0382x530,Sales promotion account executive,1,0,2,1,3
19527,Pedro Green,Male,24,Associate,Student,485000000 VND,   Si ngle_0,ENGLAND,649.644.7132x187,Dancer,1,0,3,1,3
8033,村上 康弘,Male,21,Associate,Student,17100$, S i  ngle_0,JAPAN,71-7643-6020,作曲家,3,1,2,0,3
7320,Thomas Foster,Male,21,Associate,Student,19100$,S i n gle_0,AUSTRALIA,4994-1168,Theme park manager,1,1,1,1,3
7527,David Clark,Male,21,Associate,Student,20700$,Single_0,US,001-932-616-7158,English as a second language teacher,1,0,3,1,3
18413,Steven Davis,Male,25,Associate,Student,22300$,S ingle_0,US,359.688.3834x11602,"Production designer, theatre/television/film",2,1,1,1,3
19892,山口 学,Male,28,Bachelor,Student,1527500000 VND,Unmarried_0,JAPAN,090-8400-6742,行政書士,2,16,6,3,0
17634,Darrell Ortiz,Male,26,Bachelor,Student,51400$,Un ma r  ried_0,ENGLAND,(634)861-0374x414,"Engineer, automotive",2,12,6,2,1
13819,Gabriel Farias,Male,26,Bachelor,Student,54200$,U nm arried_0,BRAZIL,+55 11 3634-2390,Governador,1,18,5,3,1
3463,오영길,Male,27,Bachelor,Student,60500$,U nmar ried_0,KOREA,010-2707-3861,컴퓨터 보안 전문가,3,21,8,1,1
5226,Michael Smith,Male,29,Bachelor,Student,1532500000 VND, Unma   rried_0,US,(757)822-5654x402,Charity officer,2,20,7,3,0
15209,Billy Ellis,Male,27,Bachelor,Student,61100$,U n ma r ried_0,US,890.833.5642,Building surveyor,3,18,5,1,0
19885,Allen Lester,Male,27,Bachelor,Student,1505000000 VND,Unmarrie d_0,ENGLAND,+1-877-837-7547,Land,3,21,7,3,0
6297,Edward Pearson,Male,30,Bachelor,Student,1380000000 VND,Unma rried_0,US,450.406.7536x59098,Armed forces training and education officer,3,13,6,3,0
10278,Kevin Rivera,Male,26,Bachelor,Student,50700$, Unmar  ried_0,ENGLAND,(700)473-0311,Building services engineer,1,15,8,2,1
15570,윤준혁,Other,28,Bachelor,Student,1312500000 VND,U  nm arried_0,KOREA,070-7890-5821,시스템 소프트웨어 개발자,2,12,7,3,1
13571,周旭,Male,28,Bachelor,Student,50500$, Unmarried_0,CHINA,15127527364,综合门诊/全科医生,2,10,7,2,0
1260,박상현,Male,27,Bachelor,Student,1512500000 VND,Unma  rr ied_0,KOREA,031-548-0685,조경원,3,19,4,1,0
16512,Christopher Smith,Male,28,Bachelor,Student,1295000000 VND,U nmar ried_0,ENGLAND,001-574-252-5933,Claims inspector/assessor,1,13,5,1,1
5916,Samantha Wong,Female,27,None,Unemployed,65800$,Marrie d_1,AUSTRALIA,0489.611.055,"Producer, radio",0,0,22,6,0
17871,Jessica Morgan,Female,27,None,Unemployed,70100$,M  arr ied_3,ENGLAND,434.328.8154x0835,"Engineer, technical sales",0,0,19,6,0
8028,青木 七夏,Female,28,None,Unemployed,70700$,   M arried_1,JAPAN,090-0291-1722,漫画家,0,0,17,4,0
7632,李华,Female,28,None,Unemployed,67500$,Marr i ed_1,CHINA,13473979836,质量管理/测试主管(QA/QC主管),0,0,19,4,0
6197,최명자,Female,28,None,Unemployed,68900$,  Ma r ried_1,KOREA,070-7297-5428,경찰관,0,1,21,7,0
19048,高橋 直子,Female,27,None,Unemployed,1812500000 VND, M ar ried_3,JAPAN,070-8518-5001,アーティスト,0,1,19,8,0
10226,Valerie George,Other,28,None,Unemployed,74100$,Marrie d_2,ENGLAND,(807)816-4778x13097,"Biochemist, clinical",0,1,15,8,0
16198,우영호,Other,28,None,Unemployed,66000$,Ma rried_2,KOREA,019-454-4758,채소 및 특용작물 재배원,0,1,11,4,0
18775,Natália Cardoso,Female,29,None,Unemployed,1607500000 VND,  M a rried_1,BRAZIL,(051) 3837 1923,Eletricista de automóveis,0,0,22,8,0
11361,Ольга Руслановна Орлова,Female,30,None,Unemployed,1837500000 VND,Ma rri ed_1,RUSSIA,+7 254 033 37 74,Медицинская сестра,0,0,10,5,0
2293,程淑华,Female,30,None,Unemployed,1735000000 VND, Marri ed_1,CHINA,15541678884,搬运工,0,0,23,4,0
8242,최순자,Female,29,None,Unemployed,71700$,   Ma rried_2,KOREA,064-711-7961,간판 제작 및 설치원,0,1,15,4,0
14796,Matthew Barber,Male,27,None,Healthcare Support,1120000000 VND, S   ingle_0,ENGLAND,001-291-480-1985x823,Television camera operator,19,11,11,10,23
9034,Randall Oconnor,Male,29,None,Healthcare Support,1182500000 VND,  S ingle_0,AUSTRALIA,08 8395 0897,Network engineer,9,19,16,17,15
1287,Cory Yates,Male,26,None,Healthcare Support,38600$,Si  ngle_0,ENGLAND,(623)571-9362,"Civil engineer, consulting",14,9,17,13,20
7579,Ravi Lucca Barbosa,Male,26,None,Healthcare Support,46400$,Si n gle_0,BRAZIL,+55 71 0610 6325,Engenheiro de produção agroindustrial,23,9,20,14,9
4102,Raymond Farmer,Male,28,None,Healthcare Support,46000$,  S ingle_0,ENGLAND,3607074362,"Designer, blown glass/stained glass",22,11,22,12,20
9342,Потапов Лазарь Фёдорович,Male,27,None,Healthcare Support,47400$,Single_0,RUSSIA,+7 (207) 612-86-49,Военнослужащий,21,15,18,9,11
11504,中島 康弘,Male,29,None,Healthcare Support,39500$,S ing le_0,JAPAN,070-1438-2792,映画監督,16,10,18,17,9
9807,Jennifer Watson,Other,28,None,Healthcare Support,1222500000 VND,S i ngle_0,ENGLAND,001-887-552-0436,Special effects artist,23,21,17,18,22
9126,Mark Sparks,Male,28,None,Healthcare Support,1180000000 VND,Sing le_0,US,722.259.9853,"Civil engineer, contracting",13,11,22,16,17
15735,Jeremy Davenport,Male,30,None,Healthcare Support,1010000000 VND,S i n gle_0,ENGLAND,(274)379-1264,Ship broker,16,14,19,18,12
16335,李秀兰,Male,28,None,Healthcare Support,38600$, Si ngle_0,CHINA,13026152537,大数据开发/分析,23,17,14,11,10
11037,Pauline Schmidtke,Other,28,Associate,Healthcare Practitioners & Technical,757500000 VND,Sin g le_2,DENMARK,+49 (0) 5151 040716,Techniker,0,3,8,1,0
4230,Sabrina Dennis,Female,26,Associate,Healthcare Practitioners & Technical,707500000 VND,Single_2,ENGLAND,4137997155,Chartered accountant,0,2,4,3,1
1685,Kimberly Taylor,Female,26,Associate,Healthcare Practitioners & Technical,780000000 VND,S in gle_2,ENGLAND,001-278-259-2213x19846,Advice worker,0,2,8,2,0
9490,Rachel Cruz,Female,27,Associate,Healthcare Practitioners & Technical,637500000 VND,Single_2,ENGLAND,+1-338-456-1953x6244,Learning disability nurse,0,1,8,1,1
9149,Cynthia Hickman,Female,28,Associate,Healthcare Practitioners & Technical,667500000 VND, Sin gle_1,US,725-467-9644x20573,Clinical research associate,0,1,7,2,1
18194,Иванова Валерия Львовна,Female,30,Associate,Healthcare Practitioners & Technical,32300$, Single_2,RUSSIA,8 136 815 87 94,Архитектор,0,1,6,1,0
1979,Ana Vitória Sousa,Female,29,Associate,Healthcare Practitioners & Technical,35100$,Single_1,BRAZIL,+55 61 6310-5691,Digitador,0,1,8,3,1
17700,佐藤 里佳,Other,29,Associate,Healthcare Practitioners & Technical,660000000 VND,Single_1,JAPAN,13-7080-4770,建築家,0,1,7,3,0
13156,Василиса Захаровна Крылова,Female,30,Associate,Healthcare Practitioners & Technical,912500000 VND,S i ngle_2,RUSSIA,8 638 968 1127,Маркитант,0,3,4,3,0
8254,박민지,Female,29,Associate,Healthcare Practitioners & Technical,28500$,Single_1,KOREA,044-188-1779,방수공,0,3,4,1,1
3055,Amanda Massey,Female,30,Associate,Healthcare Practitioners & Technical,930000000 VND,Single_4,ENGLAND,466-381-9063x5530,"Engineer, electrical",0,2,4,3,1
14227,佐藤 あすか,Female,26,Associate,Healthcare Practitioners & Technical,33400$, Si ngle_1,JAPAN,090-2723-6503,脚本家,0,2,6,1,0
3000,Lauren Robinson,Female,26,Associate,Healthcare Practitioners & Technical,31400$,  S i ngle_2,AUSTRALIA,03 9655 7008,"Scientist, forensic",0,3,4,2,0
19189,吉田 千代,Female,30,Associate,Healthcare Practitioners & Technical,840000000 VND,Si  n gle_2,JAPAN,080-7630-1419,グラフィックデザイナー,0,2,6,3,1
9388,김준서,Other,26,Associate,Healthcare Practitioners & Technical,672500000 VND,   S ingle_1,KOREA,019-980-7979,철근공,0,3,4,2,0
19299,Brandi Boyd,Female,27,Associate,Healthcare Practitioners & Technical,30200$,Single_3,ENGLAND,772-597-6798,Health and safety adviser,0,1,4,1,0
4011,Michael Barron,Male,25,None,Sales & Related,409500$,   Single_0,ENGLAND,863.577.8805,"Nurse, mental health",0,0,10,1,1
1823,Ryan Erickson,Male,22,None,Sales & Related,5097500000 VND,Single_0,AUSTRALIA,07.8307.7415,Lobbyist,1,0,18,2,0
8284,Sami Reinhardt,Male,23,None,Sales & Related,7062500000 VND,S    ingle_0,DENMARK,+49(0)6594059666,Florist,0,0,20,2,1
16630,Aaron Moreno,Other,22,None,Sales & Related,3840000000 VND,Si  n gle_0,US,770.247.1629x389,Chief Operating Officer,0,0,12,2,0
3192,Tamara Collins,Other,21,None,Sales & Related,312700$,Singl e_0,US,8637283727,Retail merchandiser,0,0,15,1,1
14639,Dr. Joaquim Montenegro,Male,25,None,Sales & Related,235900$,Si  n gle_0,BRAZIL,0800 486 5734,Revendedor,0,0,18,1,1
1559,Adam Nicholson,Male,24,None,Sales & Related,352500$,   Single_0,AUSTRALIA,+61828984659,"Development worker, community",0,0,14,3,0
3653,Herr Iwan Lübs,Male,22,None,Sales & Related,414300$,S  ingle_0,DENMARK,03767544890,Drogist,1,0,23,2,0
8690,Авксентий Валерианович Субботин,Male,21,None,Sales & Related,481800$,  S  ingle_0,RUSSIA,+7 (193) 254-18-29,Имиджмейкер,1,0,19,1,1
18414,刘玉英,Female,24,Bachelor,Management,2452500000 VND,Unmarried_0,CHINA,13718370142,测绘/测量,2,1,3,1,2
9656,Lynn Caldwell,Female,23,Bachelor,Management,92800$,Unmarried_0,US,390-383-8949x90350,Comptroller,2,2,1,2,3
11403,Нина Артемовна Родионова,Female,23,Bachelor,Management,92400$,Unm arried_0,RUSSIA,+7 (298) 811-98-12,Кинорежиссер,3,1,2,2,3
16059,Антонина Матвеевна Носова,Female,21,Bachelor,Management,2342500000 VND,Un  marr ied_0,RUSSIA,8 359 788 24 23,Стрелок,1,2,2,2,2
5081,손예진,Female,23,Bachelor,Management,2255000000 VND,  Unm arried_0,KOREA,043-772-2319,상담 전문가 및 청소년 지도사,3,2,2,2,3
10995,박하윤,Female,24,Bachelor,Management,99000$,Unmarried_0,KOREA,051-943-9415,기타 음식서비스 종사원,2,2,2,1,2
7332,吉田 さゆり,Female,23,Bachelor,Management,2427500000 VND,Unmarried_0,JAPAN,29-7543-8491,作曲家,3,1,2,3,3
11565,Crystal Grant,Female,24,Bachelor,Management,2245000000 VND,Unmarried_0,AUSTRALIA,(08) 7818 7318,"Surveyor, building",1,2,2,2,2
9605,Theo Sousa,Other,24,Bachelor,Management,2335000000 VND,U   nm arried_0,BRAZIL,0300 850 0625,Mecânico,3,2,3,3,2
12914,Amy Cortez,Female,24,Bachelor,Management,2340000000 VND,Unmarried_0,ENGLAND,404-494-4098x16688,Comptroller,3,2,3,1,2
5290,Tiffany Ferguson,Female,24,Bachelor,Management,2265000000 VND,  Unmarried_0,US,276-925-4777x41218,Special educational needs teacher,2,3,3,3,3
4651,Erica Smith,Female,23,Bachelor,Management,2262500000 VND, Un ma rried_0,ENGLAND,001-913-313-3792x34760,Clinical molecular geneticist,2,2,2,1,2
19626,Jennifer Davis,Female,21,Bachelor,Management,87800$,U nm arr ied_0,ENGLAND,2562042233,Insurance broker,1,1,3,1,3
11374,Haley Solomon,Female,25,Bachelor,Management,91800$,Un marr  ied_0,US,613-432-1478x74492,Dancer,1,3,3,2,3
13274,Tamara Black,Female,21,Bachelor,Management,99200$, U n married_0,US,+1-279-284-5210x219,Private music teacher,3,2,3,3,1
12837,Debra Russell,Female,25,Bachelor,Management,2437500000 VND, Un ma r ried_0,AUSTRALIA,+61849706450,Physiological scientist,2,2,2,1,3
11981,Laura Andrews,Female,22,Highschool,Unemployed,6800$, Single_0,ENGLAND,929.470.8838x2802,"Programme researcher, broadcasting/film/video",3,0,4,1,1
8547,Wanda Murphy,Female,22,Highschool,Unemployed,242500000 VND,Single_0,ENGLAND,(703)531-7172x26080,Geophysicist/field seismologist,1,0,4,2,1
11396,Evelyn Nixon,Female,24,Highschool,Unemployed,11100$,S i   ngle_0,ENGLAND,555.440.0294x59246,Advertising account executive,2,0,6,1,1
12281,阎佳,Female,21,Highschool,Unemployed,167500000 VND,Single_0,CHINA,13773169565,培训生,1,0,7,1,0
1237,松田 幹,Female,23,Highschool,Unemployed,3700$,Sin gle_0,JAPAN,080-1637-3429,占い師,3,0,4,3,0
13364,Brenda George,Female,24,Highschool,Unemployed,220000000 VND,S  i ngle_0,ENGLAND,(631)661-7832,"Social research officer, government",1,0,7,2,1
13644,이은주,Female,23,Highschool,Unemployed,3700$,  Single_0,KOREA,051-061-8649,정육원 및 도축원,2,0,8,2,0
13098,Katrina Thomas,Female,21,Highschool,Unemployed,5200$,  Si ngle_0,US,(843)452-8118x6970,"Designer, fashion/clothing",1,0,5,2,0
5096,王欣,Female,22,Highschool,Unemployed,67500000 VND,Si  ngle_0,CHINA,13206906933,银行柜员,2,0,7,1,0
4311,Anna Bray,Female,24,Highschool,Unemployed,1100$,Single_0,US,+1-575-907-0467x16797,Pension scheme manager,3,0,7,3,1
4642,Srta. Lívia Vasconcelos,Female,23,Highschool,Unemployed,187500000 VND,Single_0,BRAZIL,(011) 7262-8141,Tatuador,1,0,5,3,1
16360,Алевтина Александровна Сысоева,Female,24,Highschool,Unemployed,8900$,Single_0,RUSSIA,8 (412) 104-73-05,Министр,1,0,4,1,1
4849,Gina Lewis,Female,25,Highschool,Unemployed,10200$, Single_0,US,592-290-6166x2538,"Biochemist, clinical",2,0,6,2,1
1395,胡娟,Female,25,Highschool,Unemployed,142500000 VND,Single_0,CHINA,18873350440,兼职教师,2,0,4,1,1
4739,Marie Williams,Female,23,Highschool,Unemployed,5000$,S i   ngle_0,US,001-698-392-2661x6825,Management consultant,3,0,7,2,0
8103,Sarah Lambert,Female,31,Masters,Unemployed,69700$, Married_1,ENGLAND,(949)954-0561,"Engineer, site",0,1,3,1,0
8392,Тамара Харитоновна Волкова,Female,32,Masters,Unemployed,74600$, M  arried_4,RUSSIA,+71688036926,Химик,0,0,1,1,0
1253,王超,Female,32,Masters,Unemployed,64000$,  Ma r ried_3,CHINA,15208787116,人事助理,0,0,1,1,1
5299,Shannon White,Female,34,Masters,Unemployed,1865000000 VND,M   arried_1,ENGLAND,+1-574-352-8660x7150,"Administrator, local government",0,0,1,1,1
3843,Megan Henry,Female,31,Masters,Unemployed,1682500000 VND,Mar  r ied_4,US,(638)269-6451,Leisure centre manager,0,0,3,0,0
19459,Олимпиада Борисовна Афанасьева,Female,35,Masters,Unemployed,66200$,Married_2,RUSSIA,84953273853,Бортинженер,0,1,3,0,1
15993,Allison Foster,Female,31,Masters,Unemployed,1610000000 VND,Marri ed_1,US,970.415.3539,Human resources officer,0,0,2,0,0
15491,Dawn Turner,Female,41,Bachelor,Arts Design Entertainment Sports & Media,24200$,Divorced_2,ENGLAND,886.465.1902x143,Diplomatic Services operational officer,0,13,0,3,0
5248,佐々木 陽子,Female,41,Bachelor,Arts Design Entertainment Sports & Media,24600$,Divorced_2,JAPAN,73-4275-6977,大学教授,0,20,0,1,0
19988,Julie Acosta,Female,41,Bachelor,Arts Design Entertainment Sports & Media,497500000 VND,Di  vo rced_1,US,+1-939-647-9525,Event organiser,0,23,0,1,0
6980,Christine Smith,Female,41,Bachelor,Arts Design Entertainment Sports & Media,525000000 VND,Divorce d_2,US,(520)437-1589x446,Warden/ranger,0,18,1,2,0
16088,Ashley Hayes,Female,44,Bachelor,Arts Design Entertainment Sports & Media,16300$,Div  orced_1,ENGLAND,(875)585-7036,"Physicist, medical",0,19,1,2,0
2085,Jacob Dixon,Other,43,Bachelor,Arts Design Entertainment Sports & Media,14000$,Div orced_3,AUSTRALIA,0432-229-305,Financial controller,0,21,0,2,0
18315,清水 聡太郎,Male,45,Masters,Education&Training&Library,50200$, M arr ied_4,JAPAN,090-3184-1796,公務員,0,2,1,3,0
8214,John Smith,Male,41,Masters,Education&Training&Library,54400$,M arr ied_1,ENGLAND,739-373-0175x0341,"Pilot, airline",0,3,2,3,1
6121,Catherine Thompson,Other,45,Masters,Education&Training&Library,1320000000 VND,Marri ed_1,ENGLAND,434.988.3437x483,"Librarian, public",0,3,3,3,1
12463,Zachary Cooley,Male,41,Masters,Education&Training&Library,1410000000 VND,Ma rri ed_1,US,3186852764,"Administrator, education",0,3,1,1,0
3623,森 晃,Male,42,Masters,Education&Training&Library,1520000000 VND,Married_2,JAPAN,63-2052-1962,コピーライター,0,1,3,2,0
17411,Claus Pergande,Male,44,Masters,Education&Training&Library,54800$,M  arr ied_3,DENMARK,00209 52754,Artist,0,1,2,1,1
6550,吉田 淳,Male,43,Masters,Education&Training&Library,1355000000 VND,Married_4,JAPAN,070-6613-3304,介護ヘルパー,0,3,1,1,0
14405,Sara Reid,Female,24,Associate,Student,1917500000 VND,Unmarried_0,US,(806)299-8773x2787,General practice doctor,0,0,2,3,0
12257,Jessica Wilson,Female,23,Associate,Student,1892500000 VND,Unmarried_0,US,(784)299-9894,Consulting civil engineer,0,1,2,3,0
12514,Srta. Allana Caldeira,Female,22,Associate,Student,84400$,Unmarried_0,BRAZIL,+55 21 6807 3122,Motorista,0,0,2,3,1
5589,Ангелина Яковлевна Филатова,Female,21,Associate,Student,1910000000 VND,Unmarried_0,RUSSIA,+7 (285) 825-05-43,Инкассатор,0,1,3,2,0
